date,words
2019-03-15,grip mevsim hastane
2019-06-20,grip mevsim hastane
2019-09-10,grip mevsim hastane
2019-11-05,grip mevsim hastane
2020-01-10,virüs pnömoni ateş öksürük
2020-01-20,virüs pnömoni ateş öksürük
2020-02-01,virüs pandemi karantina maske mesafe
2020-02-15,pandemi karantina maske mesafe virüs
2020-03-01,pandemi karantina maske mesafe virüs
2020-03-15,pandemi karantina maske mesafe virüs
2020-04-01,pandemi karantina maske mesafe
2020-05-01,pandemi karantina maske mesafe vaka
2020-06-01,pandemi maske mesafe vaka
2020-08-01,pandemi maske mesafe vaka
2020-10-01,pandemi vaka
2021-01-15,aşı bağışık varyant delta mrna
2021-03-01,aşı bağışık varyant delta mrna
2021-05-01,aşı bağışık varyant delta
2021-07-01,aşı bağışık varyant delta
2021-09-01,aşı bağışık varyant delta
2021-11-01,aşı bağışık varyant omicron
2022-01-15,aşı bağışık varyant omicron endemi
2022-04-01,aşı bağışık varyant endemi
2022-07-01,aşı bağışık varyant endemi
2022-10-01,aşı bağışık endemi
2023-01-15,aşı grip mevsim hastane
2023-06-20,aşı grip mevsim hastane
2024-01-10,grip mevsim hastane
2024-06-15,grip mevsim hastane
