date,words
2018-03-01,yapay zekâ makine öğrenme
2018-06-15,yapay zekâ makine öğrenme
2018-09-20,yapay zekâ makine öğrenme
2019-01-10,yapay zekâ makine öğrenme derin
2019-04-15,yapay zekâ derin öğrenme sinir ağ
2019-07-20,yapay zekâ derin öğrenme sinir ağ
2019-10-10,yapay zekâ derin öğrenme sinir ağ
2020-02-01,yapay zekâ derin öğrenme doğal dil işleme
2020-05-15,yapay zekâ derin öğrenme doğal dil işleme
2020-08-20,yapay zekâ derin öğrenme doğal dil işleme
2020-11-10,yapay zekâ derin öğrenme doğal dil işleme büyük model
2021-02-15,yapay zekâ derin öğrenme büyük model dönüştürücü
2021-06-01,yapay zekâ derin öğrenme büyük model dönüştürücü
2021-09-15,yapay zekâ büyük model dönüştürücü
2022-01-10,büyük model dönüştürücü üretken yapay
2022-04-20,büyük model dönüştürücü üretken yapay
2022-08-01,büyük model dönüştürücü üretken yapay
2022-11-15,büyük model üretken yapay sohbet robot
2023-02-01,büyük model üretken yapay sohbet robot ajan
2023-05-15,büyük model üretken yapay sohbet robot ajan
2023-08-20,büyük model üretken yapay sohbet robot ajan
2023-11-10,büyük model üretken yapay sohbet robot ajan
2024-02-15,büyük model üretken yapay sohbet robot ajan yapay zekâ
2024-06-01,üretken yapay sohbet robot ajan yapay zekâ
2024-09-15,üretken yapay sohbet robot ajan yapay zekâ
