date,words
2020-01-06,kelime0_0 kelime0_1 kelime0_2 kelime0_3 kelime0_4 kelime0_5
2020-01-01,kelime0_0 kelime0_1 kelime0_2 kelime0_3 kelime0_4 kelime0_5
2020-01-01,kelime0_0 kelime0_1 kelime0_2 kelime0_3 kelime0_4 kelime0_5
2020-01-06,kelime1_0 kelime1_1 kelime1_2 kelime1_3 kelime1_4 kelime1_5
2020-01-03,kelime1_0 kelime1_1 kelime1_2 kelime1_3 kelime1_4 kelime1_5
2020-01-02,kelime1_0 kelime1_1 kelime1_2 kelime1_3 kelime1_4 kelime1_5
2020-01-02,kelime2_0 kelime2_1 kelime2_2 kelime2_3 kelime2_4 kelime2_5
2020-01-02,kelime2_0 kelime2_1 kelime2_2 kelime2_3 kelime2_4 kelime2_5
2020-01-06,kelime2_0 kelime2_1 kelime2_2 kelime2_3 kelime2_4 kelime2_5
2020-01-01,kelime3_0 kelime3_1 kelime3_2 kelime3_3 kelime3_4 kelime3_5
2020-01-06,kelime3_0 kelime3_1 kelime3_2 kelime3_3 kelime3_4 kelime3_5
2020-01-06,kelime3_0 kelime3_1 kelime3_2 kelime3_3 kelime3_4 kelime3_5
2020-01-05,kelime4_0 kelime4_1 kelime4_2 kelime4_3 kelime4_4 kelime4_5
2020-01-01,kelime4_0 kelime4_1 kelime4_2 kelime4_3 kelime4_4 kelime4_5
2020-01-05,kelime4_0 kelime4_1 kelime4_2 kelime4_3 kelime4_4 kelime4_5
2020-01-04,kelime5_0 kelime5_1 kelime5_2 kelime5_3 kelime5_4 kelime5_5
2020-01-01,kelime5_0 kelime5_1 kelime5_2 kelime5_3 kelime5_4 kelime5_5
2020-01-01,kelime5_0 kelime5_1 kelime5_2 kelime5_3 kelime5_4 kelime5_5
2020-01-01,kelime6_0 kelime6_1 kelime6_2 kelime6_3 kelime6_4 kelime6_5
2020-01-02,kelime6_0 kelime6_1 kelime6_2 kelime6_3 kelime6_4 kelime6_5
2020-01-02,kelime6_0 kelime6_1 kelime6_2 kelime6_3 kelime6_4 kelime6_5
2020-01-05,kelime7_0 kelime7_1 kelime7_2 kelime7_3 kelime7_4 kelime7_5
2020-01-05,kelime7_0 kelime7_1 kelime7_2 kelime7_3 kelime7_4 kelime7_5
2020-01-01,kelime7_0 kelime7_1 kelime7_2 kelime7_3 kelime7_4 kelime7_5
2020-01-05,kelime8_0 kelime8_1 kelime8_2 kelime8_3 kelime8_4 kelime8_5
2020-01-02,kelime8_0 kelime8_1 kelime8_2 kelime8_3 kelime8_4 kelime8_5
2020-01-06,kelime8_0 kelime8_1 kelime8_2 kelime8_3 kelime8_4 kelime8_5
2020-01-06,kelime9_0 kelime9_1 kelime9_2 kelime9_3 kelime9_4 kelime9_5
2020-01-06,kelime9_0 kelime9_1 kelime9_2 kelime9_3 kelime9_4 kelime9_5
2020-01-05,kelime9_0 kelime9_1 kelime9_2 kelime9_3 kelime9_4 kelime9_5
2020-01-04,kelime10_0 kelime10_1 kelime10_2 kelime10_3 kelime10_4 kelime10_5
2020-01-02,kelime10_0 kelime10_1 kelime10_2 kelime10_3 kelime10_4 kelime10_5
2020-01-04,kelime10_0 kelime10_1 kelime10_2 kelime10_3 kelime10_4 kelime10_5
2020-01-05,kelime11_0 kelime11_1 kelime11_2 kelime11_3 kelime11_4 kelime11_5
2020-01-03,kelime11_0 kelime11_1 kelime11_2 kelime11_3 kelime11_4 kelime11_5
2020-01-07,kelime11_0 kelime11_1 kelime11_2 kelime11_3 kelime11_4 kelime11_5
2020-01-07,kelime12_0 kelime12_1 kelime12_2 kelime12_3 kelime12_4 kelime12_5
2020-01-01,kelime12_0 kelime12_1 kelime12_2 kelime12_3 kelime12_4 kelime12_5
2020-01-07,kelime12_0 kelime12_1 kelime12_2 kelime12_3 kelime12_4 kelime12_5
2020-01-07,kelime13_0 kelime13_1 kelime13_2 kelime13_3 kelime13_4 kelime13_5
2020-01-02,kelime13_0 kelime13_1 kelime13_2 kelime13_3 kelime13_4 kelime13_5
2020-01-06,kelime13_0 kelime13_1 kelime13_2 kelime13_3 kelime13_4 kelime13_5
